file,line,type,commit,author,date,time,timezone,datetime,depth,length
src/App.tsx,38,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,8
src/App.tsx,39,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,1
src/App.tsx,40,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
src/App.tsx,41,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,0
src/App.tsx,42,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,18
src/Utils/types.ts,1,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,22
src/Utils/types.ts,2,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,12
src/Utils/types.ts,3,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,12
src/Utils/types.ts,4,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,19
src/Utils/types.ts,5,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,13
src/Utils/types.ts,6,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,13
src/Utils/types.ts,7,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,41
src/Utils/types.ts,8,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,22
src/Utils/types.ts,9,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,22
src/Utils/types.ts,10,ts,1538dcf6,Issac Roy,2025-05-01,18:09:39,-07:00,2025-05-01T18:09:39-07:00,0,0
src/Utils/types.ts,11,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,0
src/Utils/types.ts,12,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,43
src/Utils/types.ts,13,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,14
src/Utils/types.ts,14,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,12
src/Utils/types.ts,15,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,12
src/Utils/types.ts,16,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,12
src/Utils/types.ts,17,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,14
src/Utils/types.ts,18,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,2
src/Utils/types.ts,19,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,0
src/Utils/types.ts,20,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,21
src/Utils/types.ts,21,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,10
src/Utils/types.ts,22,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,14
src/Utils/types.ts,23,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,18
src/Utils/types.ts,24,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,16
src/Utils/types.ts,25,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,17
src/Utils/types.ts,26,ts,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,1
src/Utils/info.tsx,1,tsx,6c96ba35,Issac Roy,2025-04-27,11:53:44,-07:00,2025-04-27T11:53:44-07:00,0,7
src/Utils/info.tsx,2,tsx,6c96ba35,Issac Roy,2025-04-27,11:53:44,-07:00,2025-04-27T11:53:44-07:00,0,19
src/Utils/info.tsx,3,tsx,6c96ba35,Issac Roy,2025-04-27,11:53:44,-07:00,2025-04-27T11:53:44-07:00,0,11
src/Utils/info.tsx,4,tsx,6c96ba35,Issac Roy,2025-04-27,11:53:44,-07:00,2025-04-27T11:53:44-07:00,0,6
src/Utils/info.tsx,5,tsx,6c96ba35,Issac Roy,2025-04-27,11:53:44,-07:00,2025-04-27T11:53:44-07:00,0,10
